retrieved from https://en.wikipedia.org/wiki/Men%27s_100_metres_world_record_progression on 05.05.2018;;;;
note that I rounded all automatically timed results just above 9.9 down to 9.9 to stay consistent with previous manual timing;;;;
Time;Athlete;Nationality;Location of race;Date
10.6;Donald Lippincott;USA;Stockholm;1912-07-06
10.6;Jackson Scholz;USA;Stockholm;1920-09-16
10.4;Charley Paddock;USA;Redlands;1921-04-23
10.4;Eddie Tolan;USA;Stockholm;1929-08-08
10.4;Eddie Tolan;USA;Copenhagen;1929-08-25
10.3;Percy Williams;CAN;Toronto;1930-08-09
10.3;Eddie Tolan;USA;Los Angeles;1932-08-01
10.3;Ralph Metcalfe;USA;Budapest;1933-08-12
10.3;Eulace Peacock;USA;Oslo;1934-08-06
10.3;Chris Berger;NED;Amsterdam;1934-08-26
10.3;Ralph Metcalfe;USA;Osaka;1934-09-15
10.3;Ralph Metcalfe;USA;Dairen;1934-09-23
10.3;Takayoshi Yoshioka;JAP;Tokyo;1935-06-15
10.2;Jesse Owens;USA;Chicago;1936-06-20
10.2;Harold Davis;USA;Compton;1941-06-06
10.2;Lloyd LaBeach;PAN;Fresno;1948-05-15
10.2;Barney Ewell;USA;Evanston;1948-07-09
10.2;McDonald Bailey;GBP;Belgrade;1951-08-25
10.2;Heinz Fütterer;GER;Yokohama;1954-10-31
10.2;Bobby Morrow;USA;Houston;1956-05-19
10.2;Ira Murchison;USA;Compton;1956-06-01
10.2;Bobby Morrow;USA;Bakersfield;1956-06-22
10.2;Ira Murchison;USA;Los Angeles;1956-06-29
10.2;Bobby Morrow;USA;Los Angeles;1956-06-29
10.1;Willie Williams;USA;Berlin;1956-08-03
10.1;Ira Murchison;USA;Berlin;1956-08-04
10.1;Leamon King;USA;Ontario;1956-10-20
10.1;Leamon King;USA;Santa Ana;1956-10-27
10.1;Ray Norton;USA;San Jose;1959-04-18
10;Armin Hary;GER;Zurich;1960-06-21
10;Harry Jerome;CAN;Saskatoon;1960-07-15
10;Horacio Esteves;VEN;Caracas;1964-08-15
10;Bob Hayes;USA;Tokyo;1964-10-15
10;Jim Hines;USA;Modesto;1967-05-27
10;Enrique Figuerola;CUB;Budapest;1967-06-17
10;Paul Nash;ZAF;Krugersdorp;1968-04-02
10;Oliver Ford;USA;Albuquerque;1968-05-31
10;Charles Greene;USA;Sacramento;1968-06-20
10;Roger Bambuck;FRA;Sacramento;1968-06-20
9.9;Jim Hines;USA;Sacramento;1968-06-20
9.9;Ronnie Ray Smith;USA;Sacramento;1968-06-20
9.9;Charles Greene;USA;Sacramento;1968-06-20
9.9;Jim Hines;USA;Mexico City;1968-10-14
9.9;Eddie Hart;USA;Eugene;1972-07-01
9.9;Rey Robinson;USA;Eugene;1972-07-01
9.9;Steve Williams;USA;Los Angeles;1974-06-21
9.9;Silvia Leonard;CUB;Ostrava;1975-06-05
9.9;Steve Williams;USA;Siena;1975-07-16
9.9;Steve Williams;USA;Berlin;1975-08-22
9.9;Steve Williams;USA;Gainesville;1976-03-27
9.9;Harvey Glance;USA;Columbia;1976-04-03
9.9;Harvey Glance;USA;Baton Rouge;1976-05-01
9.9;Don Quarrie;JAM;Modesto;1976-05-22
9.9;Calvin Smith;USA;Colorado Springs;1983-07-03
9.9;Carl Lewis;USA;Rome;1987-08-30
9.9;Carl Lewis;USA;Zurich;1988-08-17
9.9;Carl Lewis;USA;Seoul;1988-09-24
9.9;Leroy Burrell;USA;New York;1991-07-14
9.86;Carl Lewis;USA;Tokyo;1991-08-25
9.85;Leroy Burrell;USA;Lausanne;1994-07-06
9.84;Donovan Bailey;CAN;Atlanta;1996-07-27
9.79;Maurice Greene;USA;Athens;1999-06-16
9.77;Asafa Powell;JAM;Athens;2005-06-14
9.77;Asafa Powell;JAM;Gateshead;2006-06-11
9.77;Asafa Powell;JAM;Zurich;2006-08-18
9.74;Asafa Powell;JAM;Rieti;2007-09-09
9.72;Usain Bolt;JAM;New York;2008-05-31
9.69;Usain Bolt;JAM;Beijing;2008-08-16
9.58;Usain Bolt;JAM;Berlin;2009-08-16
